"","prod","title","author","date","review_format","stars","comments","n_helpful"
"1","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Our vacuum committed suicide","Lizz","July 29, 2018","Size: V5s ProVerified Purchase",1,"I wish that I could say that everything was going fine until Rosie, our vacuuming unit, hurled herself down the stairs, but I feel I must be truthful. In reality, Rosie missed large swaths of the rooms she had been assigned to, as well as seeming to obsess over areas she had cleaned several times already.Although the descriptions here imply that she needs no supervision, she required our assistance in scaling even the smallest hurdles (the sloping 1/2"" barriers that divide our rooms derailed her completely) and needed to be picked up and carried over them.The final blow came when, in the middle of a routine sweep of the living room, she reached the edge of the stairs. Normally she would come just over the edge and stop, beep and retreat, but on this fateful evening Rosie had other plans. Without so much as a glance backward at us, she sailed over the lip of the top step and crashed down all 17, landing with a rattle at the bottom. We rushed to her aid but alas, peered over the banister only to find her in pieces by the front door, one wheel still spinning idly.In addition to the trauma caused by losing a valued member of our household, we find ourselves up to our ankles in furballs and dustbunnies. Rosie, you are gone, but your careless legacy lives on.",649
"2","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","this has been a fun mission, to say the least","Jami James","April 22, 2018","Size: V5s ProVerified Purchase",1,"Ok, this has been a fun mission, to say the least. I have been on a journey to find the best robot vacuum they make and I think I'm making headway. So far I have tried The Shark 720, Ecovacs N79S, iLife V5, iRobot Jet 240.The iLife V5-Noise Level: 3rd loudestFunctionality: TERRIBLECleaning Duration: cleaned for almost 100 minutesEmptying Convenience: TERRIBLENot worth it at all, had it for 1 hour and sent it backThe Ecovac N79S-Noise Level: This was a tad bit louder than the shark, but not by muchFunctionality: cleaned well but with no kind of plan, just zigzagged here and there, picked up more than the shark.Cleaning Duration: cleaned for almost 2 hoursEmptying Convenience: easy to empty had a back-end tray that slid out easily.Amazing Value for the cost - may end up with this oneThe iClebo Omega-Noise Level: is the loudest so far, sounds like you are using a regular vacuum cleaner for 80 minutes, that's because of the amount of pick up power this has.Functionality: Cleaned on a mission and was very strong, great mapping technology, picks up the bigger stuff more than all of the bots so far.Cleaning Duration: cleaned for 80 minutesEmptying Convenience: personally, I do not like the design in this one, tray stores in the top of the robot tray seems a lot small than all of the rest of them.Mop future is uselessOverpriced - Sending back for its little brotheriRobot Jet 240Noise Level: pretty quiteFunctionality: Cleaned on a mission but does not do what I felt it shouldCleaning Duration: cleaned for 100 minutesEmptying Convenience: the process was fine but it will never outdo a regular mop. Cleans a quarter of the floor and then is empty. Felt like I had to babysit the thing all the time.Mop future is uselessWould not recommend to anyone.OverpricedThe Shark 720-Noise Level: This was the quietest so farFunctionality: cleaned well but with no kind of plan, just zigzagged here and there. Did not fin under the couch as good as the Ecovac.Cleaning Duration: cleaned for almost 2 hoursEmptying Convenience: easy to empty had a back-end tray that slid out easily.Great Value",431
"3","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Promising, but disappointing","Review Panda","June 23, 2017","Size: V5sVerified Purchase",2," I read a lot about robot vacuums and was swayed by the Amazon reviews on the iLife V5s. Unfortunately, my experience has been less than stellar and I'm considering returning this and trying out another brand. There are a couple of things you should consider before purchasing this vacuum:* The vacuum does not follow any kind of logical route that means that it will go over some areas multiple times and others only once. If you vacuum a big room you'll have dirty areas left over, which is a big minus. If you vacuum a small room then it will do OK.* This vacuum gets stuck very easily. I ran it 3-4 times before I figured out what furniture/shoes/chairs and other items I had to move to another room for the vacuum to not get stuck. Even then it sometimes would just randomly get stuck on the wall (see video). Once it gets stuck, it doesn't realize it, so prepare for it to spin in place until it runs out of battery.* The ""plan"" feature on the vacuum is unreliable. I always schedule the vacuum to do its work at night. However, half the time, fully charged, it never actually turns on.* The dirt bin is really small and once it fills up then it will stop picking things up. Not a big deal breaker, but annoying.* Don't buy this for the mop. The pad barely gets wet as it moves around and basically doesn't actually clean.I reached out to customer support and it took a week to get a response, which wasn't super helpful.",178
"4","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Best Cleaning Robot EVER!","Adrian","May 10, 2016","Size: V5s",5,"=== Original Review Written May 10, 2016 === (An update can be found below)This is the best cleaning robot ever. I don't personally own a Roomba but have seen them work. This thing is almost identical, but at the fraction of the cost. This thing is definitely worth it! It vacuums and it mops (with some adjustments). This review is based off of non-carpeted flooring only!I have the robot vacuum work about once a day in my medium sized room and it will always have in its canister a bunch of hair and at least 2 2-3 inch in diameter dust bunnies. It tends to get wedged under arch type furniture (near the ground of course). The robot seems to be afraid of its charging base; it won't go near it (approximately 0.5-1 meters / 2-3 feet), which kinda sucks for me cause it fits perfectly under my desk with the charging base, but now he (yes it is a he!) won't clean under except when he leaves the base. All in all, his vacuuming skills are pretty good! He'll also return to his base with no problems unless he gets stuck on something.I had it mop today, and it behaves practically the same as vacuuming except it is much quieter and works kinda funny. You essentially fill up the water tank and (the instructions say only add water) I added a little Mr. Clean because it feels cleaner and smells better. It mops almost identically to how it vacuums.Other thoughts:- Dang good for about $140 (can easily find it for that price at other retailers if it isn't that much on Amazon).- Mops decently. The mop can also be taken off and thrown in the wash if you like it clean clean. Might need a steam mop to follow this puppy when he's done.- Vacuums like crazy! It's dang good.- He can push heavy objects. Probably up to 30-40 pound objects if he gets stuck or wedged in them. He got wedged under a portable AC and he moved it a good 2-4 inches to free himself.- Seems to vacuum for about 2-3 hours on max on a full charge.- I usually put the charging base on top of something once in a while so that he will vacuum everywhere, since he doesn't vacuum near the base. He will usually roam around for about 30-60 minutes when he's done vacuuming looking for the base, he will eventually find it no problem unless he gets stuck on something.- Never put the charging base near an intersection of a pathway, otherwise he will never cross it and be stuck in one quadrant while vacuuming.===== Update: August 29, 2016 ===== (the last paragraph is a tl;dr)So, how has the ILIFE V5s working for me after about 3.5 months now. I have to say that it has its quirks (will talk about it below) when compared to a Roomba. Overall, I'd still rate the ILIFE V5s a 5/5. Why?- It cleans my floor regularly. Has worked predictably and reliably since the day I got it.- The replacement parts can be bought affordably from Amazon. (4 brushes, 2 filters, and 2 mop pads all for $14.99 at the time of this review).- It was much cheaper than a Roomba. I think the cheapest Roomba on sale can be bought at about $400 (at the time of this review). I picked the ILIFE V5s up from a Chinese e-retailer for about $140 (after shipping).- I can send the V5s to vacuum and forget it. Usually, before I leave my room, I set it and forget it. When I come back, 9/10 times I'll find it on the charging base. Usually it's user error that'll prevent him from getting back to the base (i.e., A cable is lying on the floor and he gets stuck on it, or I block the base with furniture).Some comments:- Navigation: I know some of my friends will say a Roomba navigates with intelligence (i.e., it can navigate your house and it kind of memorizes it), the V5s, seems to work with heuristics. That is, it tends to roam the room a little first, then clean the outside, roam, outside, roam etc. until the battery dies. It works effectively but if it is charged with cleaning a WHOLE floor, I think it might forget where its base is in a larger apartment / floor of a house.- Getting stuck: he only seems to get stuck on arch type furniture. He doesn't get stuck easily except with mopping (see next comment). If he gets stuck he often will stay there and attempt to free himself a little, but then just let his battery die after that, if you don't rescue him in the next few hours. He will also repeatedly attempt to enter his base, but if there is something off to the side that triggers his bumper while he tries to park he'll reverse and attempt to park in the base repeatedly. Sometimes he will attempt to correct by going to the left or right but most the time he will fail to navigate around the object and will eventually die trying to return to the base (reversing and trying to park until battery dies).- Mopping: it mops well and there isn't much to say about it. The only problem as the V5s ages when he mops is that his wheels seem to lose grip, so when he mops on a wet floor, he gets stuck much more easily than normal. For instance, if he has mopped the area and makes a second pass while the floor is still wet, he can get stuck on the wall because his wheels don't provide him with enough grip to hit the wall and activate his bumper; thereby, getting stuck on the wall (or furniture, or pretty much anything he hits gently).- Bumping things: he can hit objects quite hard if his proximity sensors don't pick it up. For example if he hits a chair at an angle (his proximity sensors appear to be at about the 11 and 1 o'clock positions if the 12 is the path he is traveling forward in), and the chair is at his 12, he will smack the chair leg with full force. While most furniture this won't matter but if you have delicate items or something heavy on a night stand that isn't against a wall when he hits it, it can knock over some things. This does pose as a potential risk but one will learn over time that the V5s can be left unattended (I don't recommend doing this till you stay nearby the first handful of times you send the V5s to work).tl;dr:I still love my V5s. I haven't had any battery problems or functioning problems. Most issues I lined out are usually human error and normal wear and tear of the item. Few quirks with getting him to work, but once you learn them the V5s is definitely worth the investment. I have seen other Chinese Roomba-like robots, and I have to say the V5s was definitely worth every penny. I've seen other Chinese Roomba-like robots go for about $100-120, and they are definitely not worth even half their price in headaches and how inefficient they are at vacuuming. So, I have to say despite the VERY MINOR quirks I've had with the V5s, it is definitely worth it for $140. I would highly recommend this item and would recommend anyone who is considering a cheaper alternative to the Roomba pick this up.",752
"5","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Vacuums well, mops poorly","Kypros Nighthawk","May 16, 2018","Size: V5s ProVerified Purchase",3,"I decided to get this guy more for the mopping feature than anything else, but I'll get to that in a bit and start with the good first.PROS: The unit is fairly heavy which is good, it does a pretty good job of navigating and transitions well from hard-wood floor to carpet/rugs.  The auto-home feature is really nice to have since it automatically docks itself into the charger.  It comes with normal and max vacuum mode and it picks up quite a good bit of dirt (It's no Dyson, so don't expect it to compete with an upright vac).  It came with plenty of accessories as well as replacement parts.  It also comes with a mopping feature as well as a reservoir for the mop.  The remote control is a nice touch and allows you to program an auto-run timer as well as offers limited directional control.CONS: The mopping feature is pathetic.  The tank constantly leaks when filling it and when mounted in the machine, doesn't uniformly distribute the solution onto the mopping pad so as it mops it leaves streaks on the floor because the middle is try and the edges are damp.  The AI is not very bright, it'll repeatedly go over the same areas multiple times while completely avoiding and missing other spots.  Due to it's ability to only turn at 20degree angles or so, it zig-zags.  Another annoying issue is in mop mode, it will still go over area rugs, which ends up causing the unit to deposit all the collected dirt/dust on the mop right onto the rug.  I've also had the unit get stuck on raised (wood) vent grills.THOUGHTS:  The mopping issue, along with the water tank leaking all over the place is really disappointing, and I wish the AI knew not to go over carpets/rugs with the mop attached because it just makes the carpet messy.  I also wish it had a better way to map areas, such as a phone app or something that would let you limit the unit to certain rooms or distances so it'll actually clean a whole room, rather than wander around doing half a job.",50
"6","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","ILIFE V5s is Great - See Video Review","Dylan","January 10, 2017","Size: V5sVerified Purchase",5," The V5s robot vacuum by iLife is a fantastic product for a number of reasons: price, functionality, and convenience, just to name three.We like it so much, we even named this little guy. Even though his big brother might be more powerful, he does a good job on most surfaces. We have hardwood in most of our home, with throw rugs and tile. There are times he gets stuck on cords, but 99% of the time he does what he is supposed to.We only tried the wet cycle once, and it seemed to work well, but our main purpose for this unit is to cut down on the amount of housework we need to do. You are not supposed to add soaps to the water tank, because while it can still function with soap, it isn't going to clean the soap up unless you then run it 2-3x over the same area with a fresh tank of water. Otherwise, your floor will be sticky. If you're looking for a wet mop primarily (we weren't because we have hardwood floors), you probably need something like this robot wet mop instead: http://amzn.to/2jbfFOCCons: He isn't always great at finding his charging station on his own, but that isn't an issue for us, and it is probably our fault because we tucked it away so it is inconspicuous.We've told our friends about this more than once, and would definitely recommend the iLife Robot Vacuum Cleaner. Feel free to ask me questions below...happy to help.",51
"7","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","I just received this yesterday and I'm in love with my little floor cleaning robot","Baroque Pearl","August 7, 2017","Size: V5s ProVerified Purchase",5,"I just received this yesterday and I'm in love with my little floor cleaning robot! I have wood floor through out the house, tile in my foyer & bathrooms and laminate in my eat in kitchen. Today I vaccumed my foyer, living room, dining room & kitchen earlier in the day. I was really impressed. This little baby did a great job! At first I was a bit skeptical because the robot was moving randomly which made it look like it was going to miss corners and many other places.... well give the kid 30 minutes, walk away do your other stuff, come back, your floor is so incredibly clean! Later in the evening I put in the water tank, installed the mopping disc/cloth & send the kid to work. Again I was skeptical. The cloth was thin & flat. It stayed kind of dry at first. I actually wetted it before I let it clean more. BUT! It didn't stay dry. The water tank did a good job! And the cloth cleaned close to 800-900 sq ft perfectly. I have to confess, I'm terrible at housework. But now my floor is so so so clean, I can eat off of it! It's never been this clean without someone else doing the job! I know I'm not supposed to but another reviewer mentioned she put a bit of cleaner in the water tank.... well I did as well. And it worked out very well. But it was really watered down. And the mopping cloth cleaned up just like that when I hand washed it afterwards. I am very pleased with its sweeping/vacuuming/mopping prowess so far! The 2 little brushes out front really did the trick!! So far, I highly recommend it. I'll update this review if i found anything else (positive or negative) as I continue to use it. If I don't update, it'll be because it's working like a dream!",28
"8","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","I Love This Machine!","Blaine Coleman","August 28, 2018","Size: V5s ProVerified Purchase",5,"I've been using this great little robot cleaner for nearly a year and couldn't live without it! We have two beagles that shed hair constantly and this machine does a great job of getting it all. I learned the hard way that it is very sensitive to any nearby electronic devices ( even our oven and washer/dryer interfered with it's charging). We thought we had the charging base in a good place and the vacuum worked for several months, then began going in circles and returning to its base. The company sent me a replacement at no cost, even though I should've been charged for the shipping, and when that unit began having the same issue, we moved the charging base to an unused bedroom and it has worked perfectly ever since. The issue must've been that the original location was within about ten-feet of the kitchen range and washer/dryer. It did stop working again recently, but a call to the service department cleared up that issue- the switch on the side had apparently been turned off when I was cleaning the vacuum. Customer service has been excellent and frankly, if this unit eventually quits working I will buy another- it's a lifesaver when it comes to keeping the hardwood and tile floors clean. We typically run it every other day and it does exactly what we need.",16
"9","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","After 11 months, it just goes in circles a few times, beeps, and shuts itself off.","HiBeam","December 1, 2018","Size: V5s ProVerified Purchase",1," It worked great, until last week.  All of a sudden it just stopped working - it travels in circles just a few times, sometime forward, sometimes backwards, stops, beeps, and turns itself off. It shows a full battery charge, we cleaned all the sensors, changed the brushes and filter. Nothing helps.I contacted their twitter account, they told me to write support@iliferobot.com.  Here's their response:Here's their reply:From: <U+5DE5><U+4F5C><U+90AE><U+7BB1> <support@iliferobot.com>Sent: Monday, November 26, 2018 11:37:56 AMSubject: Re:My V5s Pro has stopped functioningHello Andrew,I am sorry to hear about your issues with your robot.Best RegardsTracy-USA Customer serviceFor a device under warranty, that's their only response!?!Steer clear of iLife products!",15
"10","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","We love this lil guy!","Paige","September 18, 2018","Size: V5s ProVerified Purchase",5,"We love this vacuum! We named him Vinny! I turn him on just about every day when I’m getting ready for the day or doing stuff around the house and it makes it so easy to keep up on pet hair around the house. He is great for hardwood, tile, or carpet.  He has a prett great battery life and will automatically re-dock to charge. The only downside is the dust compartment is pretty small so you have to empty it after every use. It’s super easy to empty and clean though.",15
